,NPA,Vacant_Land,Vacant_Land_Area,Commercial_Construction,Commercial_Construction_Permitted_Units,Commercial_Size,Commercial_Size_Total,Commercial_Building_Age,Impervious_Surface,Impervious_Surface_Area,Adopt_a_Stream,Adopt_a_Stream_Length,Pharmacy_Proximity,Pharmacy_Proximate_Units,Housing_Density,Housing_Units,Single_Family_Housing,Single_Family_Units,Housing_Size,Housing_Age,New_Residential,New_Residential_Permit_Units,Residential_Renovation,Residential_Renovation_Permit_Units,Foreclosures,Foreclosed_Units,Housing_Violations,Housing_Violations_Total,Street_Connectivity,Transit_Proximity,Transit_Proximate_Units,Violent_Crime_Rate,Property_Crime_Rate,Combined_Crime_Rate,Violent_Crime_Rate_Log2,Property_Crime_Rate_Log2,Violent_Crime_Rate_Class,Property_Crime_Rate_Class
154,158.0,6.7,83.0,1.14,14.0,69609.0,2784350.0,36.0,263,21.4,41.83,1.69,0.0,0.0,1.1,1288,100.0,1288.0,1376.0,26.0,1.22,15.0,1.14,14.0,1.0,13.0,1.09,14.0,1.1,65.0,837.0,1.74314159734,6.97256638936,4.35785399335,1.3202808782,2.6405617564,1.0,2.0
155,159.0,28.5,139.0,0.82,4.0,3650.0,51099.0,46.0,59,12.1,0.0,0.0,0.0,0.0,0.8,397,77.0,305.0,1078.0,44.0,1.02,5.0,1.84,9.0,0.4,1.0,4.79,19.0,1.25,100.0,397.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
156,160.0,7.0,54.0,0.9,7.0,19162.0,862300.0,33.0,124,16.0,0.0,0.0,0.0,0.0,1.4,1106,80.0,880.0,1318.0,38.0,0.0,0.0,2.06,16.0,0.8,7.0,2.53,28.0,1.13,100.0,1106.0,1.74314159734,6.97256638936,4.35785399335,1.3202808782,2.6405617564,1.0,2.0
157,161.0,2.9,9.0,1.7,5.0,26569.0,132845.0,33.0,66,22.4,100.0,2.01,0.0,0.0,3.9,1134,8.0,94.0,3749.0,30.0,4.42,13.0,4.08,12.0,0.0,0.0,2.12,24.0,1.13,93.0,1054.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
158,162.0,4.9,18.0,0.82,3.0,7802.0,187239.0,39.0,59,16.0,,,47.0,330.0,1.9,696,100.0,696.0,1303.0,32.0,0.0,0.0,1.9,7.0,0.9,6.0,0.72,5.0,1.08,100.0,696.0,1.74314159734,6.97256638936,4.35785399335,1.3202808782,2.6405617564,1.0,2.0
159,163.0,11.7,20.0,14.93,26.0,10288.0,678989.0,44.0,60,34.5,,,100.0,528.0,3.0,528,42.0,219.0,1621.0,64.0,12.06,21.0,8.61,15.0,0.0,0.0,0.19,1.0,1.44,100.0,528.0,1.74314159734,6.97256638936,4.35785399335,1.3202808782,2.6405617564,1.0,2.0
160,164.0,1.5,,6.08,39.0,10752.0,720370.0,40.0,163,25.4,100.0,1.14,69.0,1225.0,2.8,1766,27.0,480.0,1408.0,58.0,0.31,2.0,2.81,18.0,1.4,6.0,5.27,93.0,1.27,100.0,1766.0,1.74314159734,6.97256638936,4.35785399335,1.3202808782,2.6405617564,1.0,2.0
161,165.0,11.8,21.0,1.66,3.0,16110.0,225546.0,28.0,48,26.6,,,87.0,791.0,5.0,911,28.0,254.0,1559.0,20.0,0.0,0.0,1.66,3.0,1.2,3.0,1.43,13.0,1.05,99.0,903.0,1.74314159734,6.97256638936,4.35785399335,1.3202808782,2.6405617564,1.0,2.0
162,166.0,12.3,19.0,1.32,2.0,14778.0,103444.0,26.0,38,25.1,,,84.0,452.0,3.6,537,21.0,110.0,1727.0,37.0,0.0,0.0,0.0,0.0,1.2,4.0,0.37,2.0,1.14,100.0,537.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
163,167.0,33.9,62.0,0.0,0.0,27604.0,220830.0,26.0,38,20.7,,,72.0,260.0,2.0,359,28.0,99.0,1729.0,34.0,0.54,1.0,0.54,1.0,0.0,0.0,0.28,1.0,1.0,100.0,359.0,6.97256638936,6.97256638936,6.97256638936,2.6405617564,2.6405617564,2.0,2.0
164,168.0,0.5,1.0,0.44,1.0,93824.0,187647.0,38.0,48,21.0,,,16.0,101.0,2.8,634,71.0,450.0,1277.0,45.0,0.44,1.0,3.07,7.0,1.4,9.0,1.58,,1.17,100.0,634.0,1.74314159734,6.97256638936,4.35785399335,1.3202808782,2.6405617564,1.0,2.0
165,169.0,5.2,13.0,0.82,2.0,,,,62,25.3,0.0,0.0,1.0,11.0,3.5,857,50.0,426.0,2935.0,12.0,0.0,0.0,4.09,,0.4,3.0,0.12,1.0,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,170.0,10.5,50.0,2.1,,33581.0,134325.0,11.0,89,18.7,,,34.0,215.0,1.3,631,71.0,448.0,2967.0,17.0,0.63,3.0,2.1,,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
167,171.0,1.5,4.0,5.94,17.0,36870.0,737392.0,16.0,96,33.5,,,83.0,367.0,1.5,442,42.0,186.0,2974.0,22.0,0.0,0.0,1.05,3.0,0.0,0.0,0.0,0.0,1.09,84.0,372.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
168,172.0,4.4,41.0,0.74,7.0,30728.0,583834.0,15.0,142,15.1,0.0,0.0,38.0,430.0,1.2,1137,53.0,601.0,3053.0,,0.64,6.0,0.96,9.0,0.0,0.0,0.0,0.0,1.31,53.0,602.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
169,173.0,22.8,87.0,0.26,1.0,37099.0,296793.0,47.0,69,18.2,,,18.0,74.0,1.1,417,82.0,341.0,1325.0,24.0,0.26,1.0,1.05,4.0,1.2,5.0,2.4,,1.05,100.0,417.0,6.97256638936,6.97256638936,6.97256638936,2.6405617564,2.6405617564,2.0,2.0
170,174.0,48.6,1545.0,1.64,52.0,45398.0,2496870.0,20.0,256,8.1,29.23,2.33,29.0,181.0,0.2,627,92.0,576.0,1781.0,31.0,0.03,1.0,0.09,3.0,0.5,3.0,0.0,0.0,1.14,28.0,177.0,,6.97256638936,6.97256638936,,2.6405617564,,2.0
171,175.0,3.9,21.0,0.0,0.0,,,,64,12.3,100.0,1.28,0.0,0.0,1.3,688,100.0,686.0,2481.0,36.0,0.77,4.0,5.56,29.0,0.0,0.0,0.58,4.0,1.09,1.0,8.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
