,NPA,Vacant_Land,Vacant_Land_Area,Commercial_Construction,Commercial_Construction_Permitted_Units,Commercial_Size,Commercial_Size_Total,Commercial_Building_Age,Impervious_Surface,Impervious_Surface_Area,Adopt_a_Stream,Adopt_a_Stream_Length,Pharmacy_Proximity,Pharmacy_Proximate_Units,Housing_Density,Housing_Units,Single_Family_Housing,Single_Family_Units,Housing_Size,Housing_Age,New_Residential,New_Residential_Permit_Units,Residential_Renovation,Residential_Renovation_Permit_Units,Foreclosures,Foreclosed_Units,Housing_Violations,Housing_Violations_Total,Street_Connectivity,Transit_Proximity,Transit_Proximate_Units,Violent_Crime_Rate,Property_Crime_Rate,Combined_Crime_Rate,Violent_Crime_Rate_Log2,Property_Crime_Rate_Log2,Violent_Crime_Rate_Class,Property_Crime_Rate_Class
54,56,14.2,42,2.04,6,58378.0,467026.0,22.0,84,28.6,100.0,1.47,96.0,348.0,1.2,364,29.0,105.0,3030.0,37.0,0.0,0,4.09,12,0.0,0.0,0.55,2.0,1.08,89,324.0,1.74314159734,19.4312434833,10.5871925403,1.3202808782,4.408088416,1.0,2.0
56,58,2.9,6,1.37,3,8204.0,172279.0,38.0,50,22.9,55.38,1.08,89.0,432.0,2.2,484,53.0,256.0,1877.0,43.0,0.0,0,2.29,5,0.0,0.0,3.1,15.0,1.17,100,484.0,0.0,19.4312434833,9.71562174164,0.0,4.408088416,0.0,2.0
58,60,22.8,183,3.37,27,24774.0,421163.0,18.0,100,12.5,80.5,2.27,72.0,1000.0,1.7,1383,1.0,7.0,2434.0,50.0,0.0,0,0.0,0,0.0,0.0,0.43,6.0,1.23,92,1275.0,0.0,19.4312434833,9.71562174164,0.0,4.408088416,0.0,2.0
59,61,16.0,48,0.66,2,52263.0,104526.0,20.0,39,12.9,52.83,0.28,9.0,37.0,1.4,434,64.0,276.0,1751.0,25.0,0.0,0,0.66,2,0.4,1.0,0.69,3.0,1.12,0,0.0,1.74314159734,19.4312434833,10.5871925403,1.3202808782,4.408088416,1.0,2.0
62,65,38.5,139,3.05,11,13356.0,93490.0,12.0,57,15.8,100.0,1.91,0.0,0.0,2.6,938,1.0,6.0,1348.0,58.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.27,92,860.0,0.0,4.85781087082,2.42890543541,0.0,2.204044208,0.0,1.0
63,66,5.3,20,7.34,27,35032.0,1366259.0,21.0,156,42.4,100.0,1.9,56.0,751.0,3.7,1353,3.0,35.0,2034.0,29.0,0.0,0,0.27,1,0.4,1.0,0.67,9.0,1.12,100,1353.0,15.6882743761,43.7202978374,29.7042861067,3.9608426346,6.612132624,3.0,3.0
65,68,26.4,334,1.42,18,40227.0,3942260.0,26.0,301,23.8,100.0,2.0,64.0,729.0,0.9,1132,31.0,345.0,2122.0,21.0,0.0,0,0.24,3,0.3,2.0,0.18,2.0,1.09,61,689.0,1.74314159734,19.4312434833,10.5871925403,1.3202808782,4.408088416,1.0,2.0
66,69,1.0,4,1.05,4,22389.0,201504.0,10.0,66,17.4,100.0,0.26,67.0,482.0,1.9,719,34.0,247.0,4184.0,39.0,0.79,3,5.8,22,0.0,0.0,0.0,0.0,1.16,94,675.0,0.0,19.4312434833,9.71562174164,0.0,4.408088416,0.0,2.0
67,70,2.1,6,1.69,5,9415.0,178890.0,38.0,72,24.3,0.0,0.0,66.0,344.0,1.8,521,100.0,520.0,1199.0,56.0,0.0,0,3.72,11,0.8,4.0,4.22,22.0,1.32,100,521.0,15.6882743761,19.4312434833,17.5597589297,3.9608426346,4.408088416,3.0,2.0
68,71,2.9,10,0.0,0,4666.0,37329.0,41.0,78,22.0,0.0,0.0,60.0,854.0,4.0,1425,15.0,212.0,1737.0,31.0,0.0,0,0.56,2,0.0,0.0,2.32,33.0,1.12,100,1425.0,6.97256638936,19.4312434833,13.2019049363,2.6405617564,4.408088416,2.0,2.0
